,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,emoji_positive,emoji_neutral,emoji_negative
rest0,肯德基家鄉雞 (KFC),Kentucky Fried Chicken,3.5,7.0,140.0,Tai Po,50.0,美國菜,0,1,0
rest1,太平洋咖啡,Pacific Coffee,,,21.0,Discovery Bay,50.0,美國菜,0,0,0
rest2,小正大福,Just for mochi,,,308.0,Kwun Tong,50.0,日本菜,1,0,0
rest3,德朗甜品,Dessert Country,4.5,16.0,419.0,Kowloon City,50.0,西式,14,1,0
rest4,龍門客棧,Dragon Inn,,,32.0,Ma On Shan,101.0,滬菜,0,0,0
rest5,Cafe Oasis,,3.5,9.0,272.0,Kowloon Bay,51.0,西式,3,2,1
rest6,達記燒臘飯店,,3.0,4.0,40.0,Ap Lei Chau,50.0,港式,3,0,1
rest7,坤記腸粉,Riceroll,3.5,8.0,163.0,Tuen Mun,50.0,港式,3,2,1
rest8,Mr. Rich Bakery,,3.5,9.0,199.0,Kwun Tong,51.0,西式,6,3,0
rest9,德麥烘焙,Freshday Bakery,3.5,6.0,69.0,Tai Po,50.0,港式,4,1,1
rest10,MX (港鐵粉嶺站),,3.0,6.0,34.0,Fan Ling,50.0,港式,2,0,2
rest11,Cow Bean (TKO Gateway),,3.5,98.0,1695.0,Tseung Kwan O,101.0,日本菜,60,18,11
rest12,The Hong Kong Juice by Bless,,,,23.0,Mid-Levels,51.0,西式,0,0,0
rest13,松坂日本料理,Matsuzaka Japanese Restaurant,3.5,66.0,772.0,Tsim Sha Tsui,201.0,日本菜,38,11,12
rest14,聖安娜餅屋,Saint Honore Cake Shop,3.5,9.0,16.0,Yau Tong,50.0,港式,2,5,1
rest15,豪大大雞排,HOT-STAR Large Fried Chicken,4.0,5.0,148.0,Yuen long,50.0,台灣菜,2,1,0
rest16,當文歷餅店 by Dominique Ansel,Dang Wen Li by Dominique Ansel,3.5,197.0,11001.0,Tsim Sha Tsui,51.0,多國菜,98,64,12
rest17,老Come煎餅,,3.5,45.0,3253.0,Tin Hau,50.0,港式,21,10,3
rest18,茶王冰室 (洗衣街),Tea Master (洗衣街),3.5,145.0,5651.0,Mong Kok,51.0,港式,68,28,11
rest19,東海酒家,East Ocean Restaurant,3.5,91.0,3647.0,Quarry Bay,101.0,粵菜,38,17,11
rest20,願望樹美食,,,,30.0,Cheung Sha Wan,51.0,港式,0,2,0
rest21,Burger Begin,,4.5,64.0,484.0,Hung Hom,51.0,西式,61,0,1
rest22,Kinson Burger & Bar,,3.5,51.0,1281.0,Quarry Bay,51.0,港式,24,12,4
rest23,德記,Tak Kee,,,24.0,Wong Tai Sin,50.0,港式,0,0,0
rest24,一芳台灣水果茶,Yifang Taiwan Fruit Tea,3.5,15.0,202.0,Wan Chai,50.0,台灣菜,8,4,2
rest25,富記驛站,Fu Kee,3.5,9.0,202.0,Tai Po,101.0,粵菜,2,3,1
rest26,麻辣派,Chili Club,3.5,43.0,1943.0,Mong Kok,50.0,川菜,29,5,5
rest27,櫻川丼,Sakura Kawa Don,4.0,17.0,770.0,Yuen long,50.0,日本菜,11,3,0
rest28,Oma's Kitchen,,3.5,141.0,5880.0,Ma Wan,101.0,德國菜,90,26,10
rest29,Hana  Eggettes,,3.5,4.0,58.0,Yau Tong,50.0,港式,2,1,0
rest30,Mak Mak,,3.5,68.0,5899.0,Central,201.0,泰國菜,31,15,4
rest31,Fusion Kitchen,,,,78.0,Jordan,51.0,印度菜,0,0,0
rest32,太平洋酒吧,Bar Pacific,,,92.0,Tai Wai,101.0,多國菜,0,0,0
rest33,Crostini Bakery & Cafe,,,,9.0,Lam Tin,50.0,法國菜,0,0,0
rest34,蘭芳園,Lan Fong Yuen,3.0,204.0,3947.0,Sheung Wan,50.0,港式,62,57,50
rest35,牛肉拉麵,,4.0,7.0,144.0,Hung Hom,50.0,陝菜,4,1,0
rest36,一粥麵,Super Super Congee & Noodle,3.0,14.0,78.0,Tung Chung,50.0,港式,3,1,3
rest37,金源,K. Yuen,3.5,27.0,192.0,Tsing Yi,50.0,港式,8,7,4
rest38,台灣廣良興食品,,4.0,5.0,67.0,Yau Ma Tei,50.0,港式,4,1,0
rest39,明記潮館,Ming Kee,4.0,375.0,11258.0,Mong Kok,101.0,潮州菜,300,29,10
rest40,Youni,,4.0,19.0,1206.0,Central,51.0,多國菜,12,3,0
rest41,ALIVE EATERY by Alive Food,,4.5,9.0,597.0,Shum Shui Po,51.0,西式,8,0,0
rest42,第一城冰站,City One Plaza Cafe,3.0,82.0,407.0,Shatin,50.0,港式,35,16,12
rest43,小廚港作,Rocoma Kitchen,3.5,31.0,299.0,Lai Chi Kok,50.0,港式,13,8,2
rest44,水鄉茶餐廳,,,,3.0,Tai O,50.0,港式,0,0,0
rest45,和順記,,4.0,42.0,3410.0,Yau Ma Tei,50.0,港式,24,3,1
rest46,串燒茶寮,,,,66.0,Fo Tan,50.0,港式,0,0,0
rest47,鍋心粥底火鍋,The Cosmopolitan,4.5,97.0,10120.0,Tai Wai,101.0,粵菜,70,6,2
rest48,兩草,,4.0,71.0,8772.0,Causeway Bay,50.0,港式,39,18,3
rest49,星河小食,Starship,4.0,28.0,953.0,Sai Wan Ho,50.0,港式,23,3,2
rest50,MOS Burger,,3.5,9.0,114.0,Tsing Yi,50.0,日本菜,6,3,0
rest51,Casa Kitchen,,4.5,88.0,635.0,Shek Kip Mei,51.0,意大利菜,85,2,0
rest52,大棧,,,,8.0,Chai Wan,101.0,港式,0,0,0
rest53,粵 (香港黃金海岸酒店),YUE (香港黃金海岸酒店),4.0,95.0,2521.0,Tuen Mun,201.0,粵菜,59,6,1
rest54,Chill Cafe Bar & Grill,,4.0,56.0,3647.0,Kowloon Bay,101.0,意大利菜,32,10,5
rest55,Tate Dining Room & Bar,,4.0,42.0,2924.0,Central,801.0,法國菜,31,5,2
rest56,福星快餐,,,,27.0,Tai Kok Tsui,50.0,港式,2,0,0
