,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,add_en,emoji_positive,emoji_neutral,emoji_negative
rest0,肯德基家鄉雞 (KFC),Kentucky Fried Chicken,3.5,7.0,140.0,Tai Po,50.0,美國菜,"Shop 501-504, G/F, Tai Po Mega Mall Zone C, 9 On Pong Road, Tai Po",0,1,0
rest1,太平洋咖啡,Pacific Coffee,,,21.0,Discovery Bay,50.0,美國菜,"Shop 02, Discovery Bay Pier, Discovery Bay",0,0,0
rest2,小正大福,Just for mochi,,,308.0,Kwun Tong,50.0,日本菜,"Shop B, 4/F, Manning Industrial Building, 116-118 How Ming Street, Kwun Tong",1,0,0
rest3,德朗甜品,Dessert Country,4.5,16.0,419.0,Kowloon City,50.0,西式,"Shop B005, G/F, Ching Long Shopping Centre, Kowloon City",14,1,0
rest4,龍門客棧,Dragon Inn,,,32.0,Ma On Shan,101.0,滬菜,"Shop G06, G/F, We Go Mall, 16 Po Tai Street, Ma On Shan",0,0,0
rest5,Cafe Oasis,,3.5,9.0,272.0,Kowloon Bay,51.0,西式,"Shop 1A1, G/F, Metro Centre Phase 1, 32 Lam Hing Street, Kowloon Bay",3,2,1
rest6,達記燒臘飯店,,3.0,4.0,40.0,Ap Lei Chau,50.0,港式,"G/F, 97 Ap Lei Chau Main Street, Ap Lei Chau",3,0,1
rest7,坤記腸粉,Riceroll,3.5,8.0,163.0,Tuen Mun,50.0,港式,"Shop 3, G/F, Golden Orchid Court, 3 Luk Yeun Street, Tuen Mun",3,2,1
rest8,Mr. Rich Bakery,,3.5,9.0,199.0,Kwun Tong,51.0,西式,"3/F, Union Industrial Building, 116 Wai Yip Street, Kwun Tong",6,3,0
rest9,德麥烘焙,Freshday Bakery,3.5,6.0,69.0,Tai Po,50.0,港式,"Shop S4A, G/F, Tai Yuen Shopping Centre Phase A, 10 Ting Kok Road, Tai Po",4,1,1
rest10,MX (港鐵粉嶺站),,3.0,6.0,34.0,Fan Ling,50.0,港式,"Shop FAN13, Fanling MTR Station, Fanling",2,0,2
rest11,Cow Bean (TKO Gateway),,3.5,98.0,1695.0,Tseung Kwan O,101.0,日本菜,"Shop 140-141, 1/F, East Wing, TKO Gateway, 2 Sheung Ning Road, Tseung Kwan O",60,18,11
rest12,The Hong Kong Juice by Bless,,,,23.0,Mid-Levels,51.0,西式,"1 Prince Terrace, Mid-Levels",0,0,0
rest13,松坂日本料理,Matsuzaka Japanese Restaurant,3.5,66.0,772.0,Tsim Sha Tsui,201.0,日本菜,"UG/F, South Seas Centre, 75 Mody Road, Tsim Sha Tsui",38,11,12
rest14,聖安娜餅屋,Saint Honore Cake Shop,3.5,9.0,16.0,Yau Tong,50.0,港式,"Shop 10, G/F, Yau Lai Shopping Centre, Yau Lai Estate, Yau Tong",2,5,1
rest15,豪大大雞排,HOT-STAR Large Fried Chicken,4.0,5.0,148.0,Yuen long,50.0,台灣菜,"Shop G2, G/F, 66 Kau Yuk Road, Yuen Long",2,1,0
rest16,當文歷餅店 by Dominique Ansel,Dang Wen Li by Dominique Ansel,3.5,197.0,11001.0,Tsim Sha Tsui,51.0,多國菜,"Shop OT G63A, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",98,64,12
rest17,老Come煎餅,,3.5,45.0,3253.0,Tin Hau,50.0,港式,"Shop A2B, G/F, 15-17 Ngan Mok Street, Tin Hau",21,10,3
rest18,茶王冰室 (洗衣街),Tea Master (洗衣街),3.5,145.0,5651.0,Mong Kok,51.0,港式,"G/F, 113 Sai Yee Street, Mong Kok",68,28,11
rest19,東海酒家,East Ocean Restaurant,3.5,91.0,3647.0,Quarry Bay,101.0,粵菜,"2/F, Berkshire House, 25 Westlands Road, Quarry Bay",38,17,11
rest20,願望樹美食,,,,30.0,Cheung Sha Wan,51.0,港式,"Shop A3, G/F, Smiling Plaza, 162-188 Un Chau Street, Cheung Sha Wan",0,2,0
rest21,Burger Begin,,4.5,64.0,484.0,Hung Hom,51.0,西式,"Shop 1, G/F, Golden Court, 58 Wuhu Street, Hung Hom",61,0,1
rest22,Kinson Burger & Bar,,3.5,51.0,1281.0,Quarry Bay,51.0,港式,"Shop 4, G/F, Stanhope House, 738 King's Road, Quarry Bay",24,12,4
rest23,德記,Tak Kee,,,24.0,Wong Tai Sin,50.0,港式,"CF 7-8, 2/F, Tai Shing Street Market, 121 Choi Hun, Wong Tai Sin",0,0,0
rest24,一芳台灣水果茶,Yifang Taiwan Fruit Tea,3.5,15.0,202.0,Wan Chai,50.0,台灣菜,"G/F, 292 Hennessy Road, Wan Chai",8,4,2
rest25,富記驛站,Fu Kee,3.5,9.0,202.0,Tai Po,101.0,粵菜,"Shop CFS1-4, Kwong Fuk Market, G/F, Kwong Fuk Commercial Centre, 28 Plover Cove Road, Tai Po",2,3,1
rest26,麻辣派,Chili Club,3.5,43.0,1943.0,Mong Kok,50.0,川菜,"Shop M, G/F, Witty Commercial Building Deli 2, 1A-1L Tung Choi Street, Mong Kok",29,5,5
rest27,櫻川丼,Sakura Kawa Don,4.0,17.0,770.0,Yuen long,50.0,日本菜,"Shop A, G/F, Hung Fat House, 87-99 Kan Yuk Road, Yuen Long",11,3,0
rest28,Oma's Kitchen,,3.5,141.0,5880.0,Ma Wan,101.0,德國菜,"1/F, Beach Commercial Complex, Park Island, Ma Wan",90,26,10
rest29,Hana  Eggettes,,3.5,4.0,58.0,Yau Tong,50.0,港式,"Shop 133, 1/F, Lei Yue Mun Plaza, 80 Lei Yue Mun Road, Yau Tong",2,1,0
rest30,Mak Mak,,3.5,68.0,5899.0,Central,201.0,泰國菜,"Shop 217A, 2/F, Atrium, The Landmark, 15 Queen's Road Central, Central",31,15,4
rest31,Fusion Kitchen,,,,78.0,Jordan,51.0,印度菜,"G/F, 2 Nanking Street, Jordan",0,0,0
